name,asciiname,country,geonameid
Berat,Berat,Albania,3186084
Kapan,Kapan,Armenia,174875
Goris,Goris,Armenia,174895
Hats’avan,Hats'avan,Armenia,174972
Artashat,Artashat,Armenia,174979
Ararat,Ararat,Armenia,174991
Yerevan,Yerevan,Armenia,616052
Vagharshapat,Vagharshapat,Armenia,616062
Stepanavan,Stepanavan,Armenia,616194
Spitak,Spitak,Armenia,616199
Sevan,Sevan,Armenia,616250
Masis,Masis,Armenia,616435
Vanadzor,Vanadzor,Armenia,616530
Gavar,Gavar,Armenia,616599
Hrazdan,Hrazdan,Armenia,616629
Armavir,Armavir,Armenia,616631
Gyumri,Gyumri,Armenia,616635
Ch’arents’avan,Ch'arents'avan,Armenia,616785
Ashtarak,Ashtarak,Armenia,616877
Abovyan,Abovyan,Armenia,617026
Saurimo,Saurimo,Angola,145531
Lucapa,Lucapa,Angola,145724
Luau,Luau,Angola,876177
Uíge,Uige,Angola,2236568
Soio,Soio,Angola,2236967
N'zeto,N'zeto,Angola,2239001
N’dalatando,N'dalatando,Angola,2239076
Mbanza Kongo,Mbanza Kongo,Angola,2239520
Malanje,Malanje,Angola,2239862
Luanda,Luanda,Angola,2240449
Caxito,Caxito,Angola,2242001
Cabinda,Cabinda,Angola,2243271
Sumbe,Sumbe,Angola,3346015
Moçâmedes,Mocamedes,Angola,3347019
Menongue,Menongue,Angola,3347353
Luena,Luena,Angola,3347719
Lubango,Lubango,Angola,3347762
Longonjo,Longonjo,Angola,3347853
Lobito,Lobito,Angola,3347939
Cuito,Cuito,Angola,3348078
Huambo,Huambo,Angola,3348313
Catumbela,Catumbela,Angola,3350246
Catabola,Catabola,Angola,3350372
Camacupa,Camacupa,Angola,3351014
Caála,Caala,Angola,3351500
Benguela,Benguela,Angola,3351663
Zárate,Zarate,Argentina,3427213
Wanda,Wanda,Argentina,3427327
Villa Ortúzar,Villa Ortuzar,Argentina,3427387
Villa Ocampo,Villa Ocampo,Argentina,3427388
Villa Lugano,Villa Lugano,Argentina,3427408
Villaguay,Villaguay,Argentina,3427428
Villa Gesell,Villa Gesell,Argentina,3427431
Villa de Mayo,Villa de Mayo,Argentina,3427453
Tortuguitas,Tortuguitas,Argentina,3427687
Tigre,Tigre,Argentina,3427761
Tandil,Tandil,Argentina,3427833
San Vicente,San Vicente,Argentina,3428068
Santo Tomé,Santo Tome,Argentina,3428071
Santos Lugares,Santos Lugares,Argentina,3428075
Santa Elena,Santa Elena,Argentina,3428359
San Pedro,San Pedro,Argentina,3428576
San Pedro,San Pedro,Argentina,3428577
San Luis del Palmar,San Luis del Palmar,Argentina,3428708
San Lorenzo,San Lorenzo,Argentina,3428759
San Javier,San Javier,Argentina,3428975
San Isidro,San Isidro,Argentina,3428992
Saladas,Saladas,Argentina,3429403
Retiro,Retiro,Argentina,3429576
Resistencia,Resistencia,Argentina,3429577
Reconquista,Reconquista,Argentina,3429594
Quilmes,Quilmes,Argentina,3429652
Puerto Rico,Puerto Rico,Argentina,3429732
Puerto Iguazú,Puerto Iguazu,Argentina,3429777
Puerto Esperanza,Puerto Esperanza,Argentina,3429786
Puerto Eldorado,Puerto Eldorado,Argentina,3429790
Posadas,Posadas,Argentina,3429886
Pontevedra,Pontevedra,Argentina,3429902
Pirané,Pirane,Argentina,3429949
Pilar,Pilar,Argentina,3429980
Paso de los Libres,Paso de los Libres,Argentina,3430104
Oberá,Obera,Argentina,3430340
Necochea,Necochea,Argentina,3430443
Muñiz,Muniz,Argentina,3430513
Morón,Moron,Argentina,3430545
Monte Caseros,Monte Caseros,Argentina,3430598
Montecarlo,Montecarlo,Argentina,3430601
Merlo,Merlo,Argentina,3430697
Mercedes,Mercedes,Argentina,3430708
Mercedes,Mercedes,Argentina,3430709
Mar del Plata,Mar del Plata,Argentina,3430863
Luján,Lujan,Argentina,3430988
Los Polvorines,Los Polvorines,Argentina,3431057
La Plata,La Plata,Argentina,3432043
La Paz,La Paz,Argentina,3432079
Jardín América,Jardin America,Argentina,3433349
Hurlingham,Hurlingham,Argentina,3433522
Gualeguaychú,Gualeguaychu,Argentina,3433658
Gualeguay,Gualeguay,Argentina,3433663
Goya,Goya,Argentina,3433715
Gobernador Virasora,Gobernador Virasora,Argentina,3433753
General Pacheco,General Pacheco,Argentina,3433787
General José de San Martín,General Jose de San Martin,Argentina,3433803
Garupá,Garupa,Argentina,3433836
Formosa,Formosa,Argentina,3433899
Fontana,Fontana,Argentina,3433901
Federal,Federal,Argentina,3433956
Esquina,Esquina,Argentina,3434095
El Soberbio,El Soberbio,Argentina,3434291
Don Torcuato,Don Torcuato,Argentina,3435010
Dolores,Dolores,Argentina,3435038
Curuzú Cuatiá,Curuzu Cuatia,Argentina,3435103
Corrientes,Corrientes,Argentina,3435217
Concordia,Concordia,Argentina,3435261
Concepción del Uruguay,Concepcion del Uruguay,Argentina,3435264
Colegiales,Colegiales,Argentina,3435356
Chajarí,Chajari,Argentina,3435486
Campana,Campana,Argentina,3435810
Buenos Aires,Buenos Aires,Argentina,3435910
Boedo,Boedo,Argentina,3436003
Berazategui,Berazategui,Argentina,3436043
Belgrano,Belgrano,Argentina,3436077
Barranqueras,Barranqueras,Argentina,3436124
Barracas,Barracas,Argentina,3436134
Balcarce,Balcarce,Argentina,3436177
Azul,Azul,Argentina,3436199
Avellaneda,Avellaneda,Argentina,3436230
Aristóbulo del Valle,Aristobulo del Valle,Argentina,3436287
Zapala,Zapala,Argentina,3832132
Yerba Buena,Yerba Buena,Argentina,3832260
Villa Regina,Villa Regina,Argentina,3832647
Villa Paula de Sarmiento,Villa Paula de Sarmiento,Argentina,3832653
Villa Nueva,Villa Nueva,Argentina,3832662
Villa María,Villa Maria,Argentina,3832694
Villa Dolores,Villa Dolores,Argentina,3832756
Villa Constitución,Villa Constitucion,Argentina,3832778
Villa Carlos Paz,Villa Carlos Paz,Argentina,3832791
Villa Ángela,Villa Angela,Argentina,3832811
Villa Allende,Villa Allende,Argentina,3832815
Viedma,Viedma,Argentina,3832899
Victoria,Victoria,Argentina,3832934
Vera,Vera,Argentina,3833027
Venado Tuerto,Venado Tuerto,Argentina,3833062
Veinticinco de Mayo,Veinticinco de Mayo,Argentina,3833112
Ushuaia,Ushuaia,Argentina,3833367
Unquillo,Unquillo,Argentina,3833412
Tres Isletas,Tres Isletas,Argentina,3833794
Tres Arroyos,Tres Arroyos,Argentina,3833859
Trelew,Trelew,Argentina,3833883
Termas de Río Hondo,Termas de Rio Hondo,Argentina,3834502
Tartagal,Tartagal,Argentina,3834601
Tafí Viejo,Tafi Viejo,Argentina,3834813
